match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_recent_form,away_recent_form,home_wc_history,away_wc_history,home_rank,away_rank,home_goals_conceded_per_game,away_goals_conceded_per_game
1,2024-01-01,TeamA,TeamB,2,1,2.1,0.9,7.5,6.2,8.0,7.5,10,15,1.2,1.5
2,2024-01-05,TeamC,TeamD,1,0,1.3,0.8,6.8,5.9,7.2,6.0,8,20,1.0,1.8
3,2024-01-10,TeamA,TeamC,3,2,2.5,1.8,7.8,7.0,8.0,7.2,10,8,1.2,1.0
4,2024-01-15,TeamB,TeamD,2,2,1.5,1.5,6.5,6.0,7.5,6.0,15,20,1.5,1.8
5,2024-01-20,TeamA,TeamD,4,0,3.2,0.5,8.0,5.5,8.0,6.0,10,20,1.2,1.8
6,2024-01-25,TeamB,TeamC,1,2,1.0,2.0,6.8,7.2,7.5,7.2,15,8,1.5,1.0
7,2024-02-01,TeamA,TeamB,1,1,1.4,1.3,7.6,6.5,8.0,7.5,10,15,1.2,1.5
8,2024-02-05,TeamC,TeamD,2,1,1.9,1.1,7.1,6.2,7.2,6.0,8,20,1.0,1.8
9,2024-02-10,TeamA,TeamC,2,0,2.2,0.7,7.9,6.9,8.0,7.2,10,8,1.2,1.0
10,2024-02-15,TeamB,TeamD,0,1,0.8,1.4,6.2,6.3,7.5,6.0,15,20,1.5,1.8
11,2024-02-20,TeamA,TeamD,3,1,2.8,1.0,8.0,6.0,8.0,6.0,10,20,1.2,1.8
12,2024-02-25,TeamB,TeamC,1,1,1.2,1.2,6.9,7.1,7.5,7.2,15,8,1.5,1.0
